Matrix Size,Time (seconds)
4,4,0.000000
8,8,0.000000
16,16,0.000000
32,32,0.000448
64,64,0.005012
128,128,0.033094
256,256,0.200499
512,512,1.356702
1024,1024,9.473516
4,4,0.000000
8,8,0.000000
16,16,0.000000
32,32,0.000469
64,64,0.003989
128,128,0.029692
256,256,0.199107
512,512,1.558876
1024,1024,10.961010
2048,2048,74.755892
